Pokemon,Type1,Type2,Tier,HP,Atk,Def,SpA,SpD,Spe
Abomasnow,Grass,Ice,NU,90,92,75,92,85,60
Accelgor,Bug,,RU,80,70,40,100,60,145
Aegislash,Steel,Ghost,OU,60,50,140,50,140,60
Aegislash-Blade,Steel,Ghost,OU,60,140,50,140,50,60
Alcremie,Fairy,,RU,65,60,75,110,121,64
Appletun,Grass,Dragon,NU,110,85,80,100,80,30
Araquanid,Water,Bug,UU,68,70,92,50,132,42
Arcanine,Fire,,UU,90,110,80,100,80,95
Arctovish,Water,Ice,PU,90,90,100,80,90,55
Arctozolt,Electric,Ice,NU,90,100,90,90,80,55
Aromatisse,Fairy,,RU,101,72,72,99,89,29
Avalugg,Ice,,UU,95,117,184,44,46,28
Appletun,Grass,Dragon,NU,110,85,80,100,80,30
Araquanid,Water,Bug,UU,68,70,92,50,132,42
Arcanine,Fire,,UU,90,110,80,100,80,95
Arctovish,Water,Ice,PU,90,90,100,80,90,55
Arctozolt,Electric,Ice,NU,90,100,90,90,80,55
Aromatisse,Fairy,,RU,101,72,72,99,89,29
Avalugg,Ice,,UU,95,117,184,44,46,28
Barbaracle,Rock,Water,RUBL,72,105,115,54,86,68
Barraskewda,Water,,RU,61,123,60,60,50,136
Basculin,Water,,PU,70,92,65,80,55,98
Basculin-Blue-Striped,Water,,PU,70,92,65,80,55,98
Beartic,Ice,,PU,95,130,80,70,80,50
Beheeyem,Psychic,,PU,75,75,75,125,95,40
Bellossom,Grass,,PU,75,80,95,90,100,50
Beartic,Ice,,PU,95,130,80,70,80,50
Beheeyem,Psychic,,PU,75,75,75,125,95,40
Bellossom,Grass,,PU,75,80,95,90,100,50
Bewear,Normal,Fighting,RU,120,125,80,55,60,60
Bisharp,Dark,Steel,OU,65,125,100,60,70,70
Blastoise,Water,,UU,79,83,100,85,105,78
Boltund,Electric,,RU,69,90,60,90,60,121
Braviary,Normal,Flying,UU,100,123,75,57,75,80
Bronzong,Steel,Psychic,UU,67,89,116,79,116,33
Butterfree,Bug,Flying,NU,60,45,50,90,80,70
Celebi,Psychic,Grass,UU,100,100,100,100,100,100
Centiskorch,Fire,Bug,UU,100,115,65,90,90,65
Chandelure,Ghost,Fire,UU,60,55,90,145,90,80
Charizard,Fire,Flying,RU,78,84,78,109,85,100
Cherrim,Grass,,PU,70,60,70,87,78,85
Cherrim-Sunshine,Grass,,PU,70,60,70,87,78,85
Cinccino,Normal,,RU,75,95,60,65,60,115
Cinderace,Fire,,OU,80,116,75,65,75,119
Claydol,Ground,Psychic,UU,60,70,105,70,120,75
Clefable,Fairy,,OU,95,70,73,95,90,60
Cloyster,Water,Ice,OU,50,95,180,85,45,70
Coalossal,Rock,Fire,RU,110,80,120,80,90,30
Cobalion,Steel,Fighting,UU,91,90,129,90,72,108
Cofagrigus,Ghost,,NU,58,50,145,95,105,30
Conkeldurr,Fighting,,OU,105,140,95,55,65,45
Copperajah,Steel,,RU,122,130,69,80,69,30
Copperajah,Steel,,RU,122,130,69,80,69,30
Corsola,Water,Rock,UU,65,55,95,65,95,35
Corsola-Galar,Ghost,,UU,60,55,100,65,100,30
Corviknight,Flying,Steel,OU,98,87,105,53,85,67
Cramorant,Flying,Water,RU,70,85,55,85,95,85
Cramorant-Gorging,Flying,Water,RU,70,85,55,85,95,85
Cramorant-Gulping,Flying,Water,RU,70,85,55,85,95,85
Crawdaunt,Water,Dark,UUBL,63,120,85,90,55,55
